Module,Fan-In,Fan-Out
typing_extensions,30,0
fastapi,21,9
pydantic,18,9
fastapi._compat,11,23
fastapi.openapi,11,0
pydantic_core,10,2
fastapi.openapi.models,9,6
fastapi.exceptions,8,2
pydantic_core.core_schema,8,2
pydantic._internal,8,0
pydantic.json_schema,7,8
fastapi.params,7,7
fastapi.security,7,4
fastapi.security.base,7,3
fastapi.utils,6,7
fastapi.datastructures,6,3
pydantic.errors,6,2
fastapi.types,6,1
fastapi.routing,5,13
pydantic.fields,5,9
fastapi.encoders,5,8
pydantic._internal._typing_extra,5,3
fastapi.dependencies.models,4,4
pydantic._internal._schema_generation_shared,4,4
pydantic._internal._utils,4,4
fastapi.dependencies,4,0
fastapi.logger,4,0
fastapi.dependencies.utils,3,17
fastapi.security.oauth2,3,9
pydantic.types,3,9
fastapi.param_functions,3,6
fastapi.security.open_id_connect_url,3,6
fastapi.responses,3,2
pydantic.version,3,2
fastapi.background,3,1
fastapi.openapi.constants,3,0
fastapi.security.utils,3,0
fastapi.websockets,3,0
fastapi.openapi.utils,2,17
fastapi.applications,2,13
fastapi.security.http,2,9
pydantic.networks,2,9
fastapi.security.api_key,2,6
fastapi.exception_handlers,2,5
fastapi.openapi.docs,2,3
fastapi.concurrency,2,2
anyio,2,0
email_validator,2,0
fastapi.cli,2,0
fastapi.requests,2,0
pydantic.color,1,6
fastapi.__main__,1,2
anyio.to_thread,1,1
fastapi.middleware,1,0
fastapi.middleware.cors,1,0
fastapi.middleware.gzip,1,0
fastapi.middleware.httpsredirect,1,0
fastapi.middleware.trustedhost,1,0
fastapi.middleware.wsgi,1,0
fastapi.staticfiles,1,0
fastapi.templating,1,0
fastapi.testclient,1,0
orjson,1,0
pydantic.class_validators,1,0
pydantic.error_wrappers,1,0
pydantic.schema,1,0
pydantic.typing,1,0
pydantic.utils,1,0
ujson,1,0
__main__,0,44
